Clau,Accidents,Mat,Tar,Nit,Mat_P,Tar_p,Nit_p
1120211,34,10.0,24.0,0.0,0.29411764705882354,0.7058823529411765,0.0
1120212,58,16.0,37.0,5.0,0.27586206896551724,0.6379310344827587,0.08620689655172414
1120213,47,10.0,29.0,8.0,0.2127659574468085,0.6170212765957447,0.1702127659574468
1120214,62,15.0,33.0,14.0,0.24193548387096775,0.532258064516129,0.22580645161290322
1120221,42,11.0,25.0,6.0,0.2619047619047619,0.5952380952380952,0.14285714285714285
1120222,58,18.0,30.0,10.0,0.3103448275862069,0.5172413793103449,0.1724137931034483
1120223,57,14.0,29.0,14.0,0.24561403508771928,0.5087719298245614,0.24561403508771928
1120224,70,24.0,38.0,8.0,0.34285714285714286,0.5428571428571428,0.11428571428571428
120161,61,21.0,29.0,11.0,0.3442622950819672,0.47540983606557374,0.18032786885245902
120162,84,30.0,44.0,10.0,0.35714285714285715,0.5238095238095238,0.11904761904761904
120163,60,25.0,23.0,12.0,0.4166666666666667,0.38333333333333336,0.2
120164,65,28.0,29.0,8.0,0.4307692307692308,0.4461538461538462,0.12307692307692308
120171,63,20.0,33.0,10.0,0.31746031746031744,0.5238095238095238,0.15873015873015872
120172,43,10.0,23.0,10.0,0.23255813953488372,0.5348837209302325,0.23255813953488372
120173,40,13.0,18.0,9.0,0.325,0.45,0.225
120174,33,15.0,13.0,5.0,0.45454545454545453,0.3939393939393939,0.15151515151515152
120181,33,14.0,14.0,5.0,0.42424242424242425,0.42424242424242425,0.15151515151515152
120182,37,17.0,14.0,6.0,0.4594594594594595,0.3783783783783784,0.16216216216216217
120183,46,11.0,25.0,10.0,0.2391304347826087,0.5434782608695652,0.21739130434782608
120184,30,12.0,10.0,8.0,0.4,0.3333333333333333,0.26666666666666666
120191,43,20.0,16.0,7.0,0.46511627906976744,0.37209302325581395,0.16279069767441862
120192,34,14.0,13.0,7.0,0.4117647058823529,0.38235294117647056,0.20588235294117646
120193,50,17.0,24.0,9.0,0.34,0.48,0.18
120194,43,16.0,20.0,7.0,0.37209302325581395,0.46511627906976744,0.16279069767441862
120201,36,13.0,16.0,7.0,0.3611111111111111,0.4444444444444444,0.19444444444444445
120202,12,6.0,5.0,1.0,0.5,0.4166666666666667,0.08333333333333333
120203,31,13.0,12.0,6.0,0.41935483870967744,0.3870967741935484,0.1935483870967742
120204,22,5.0,14.0,3.0,0.22727272727272727,0.6363636363636364,0.13636363636363635
120211,25,8.0,12.0,5.0,0.32,0.48,0.2
120212,34,10.0,21.0,3.0,0.29411764705882354,0.6176470588235294,0.08823529411764706
120213,42,18.0,13.0,11.0,0.42857142857142855,0.30952380952380953,0.2619047619047619
120214,37,13.0,17.0,7.0,0.35135135135135137,0.4594594594594595,0.1891891891891892
120221,37,13.0,16.0,8.0,0.35135135135135137,0.43243243243243246,0.21621621621621623
120222,48,15.0,21.0,12.0,0.3125,0.4375,0.25
120223,40,10.0,19.0,11.0,0.25,0.475,0.275
120224,42,9.0,21.0,12.0,0.21428571428571427,0.5,0.2857142857142857
1220161,51,24.0,26.0,1.0,0.47058823529411764,0.5098039215686274,0.0196078431372549
1220162,82,36.0,33.0,13.0,0.43902439024390244,0.4024390243902439,0.15853658536585366
1220163,80,29.0,42.0,9.0,0.3625,0.525,0.1125
1220164,80,31.0,31.0,18.0,0.3875,0.3875,0.225
1220171,58,26.0,26.0,6.0,0.4482758620689655,0.4482758620689655,0.10344827586206896
1220172,74,39.0,34.0,1.0,0.527027027027027,0.4594594594594595,0.013513513513513514
