"Codi_Districte","Nom_Districte","Rang_soroll","TOTAL_D","TOTAL_E","TOTAL_N","TOTAL_DEN","TRANSIT_D","TRANSIT_E","TRANSIT_N","TRANSIT_DEN","GI_TR_D","GI_TR_E","GI_TR_N","GI_TR_DEN","FFCC_D","FFCC_E","FFCC_N","FFCC_DEN","INDUST_D","INDUST_E","INDUST_N","INDUST_DEN","VIANANTS_D","VIANANTS_E","OCI_N","PATIS_D","PATIS_E","PARCS_D"
"9","Sant Andreu","50-55 dB","11.36%","11.59%","16.61%","12.67%","9.98%","11.70%","16.56%","10.37%","6.20%","5.66%","3.75%","7.47%","1.44%","1.20%","0.24%","1.72%","0.02%","0.00%","0.00%","0.03%","2.40%","1.56%","1.44%","5.33%","0.00%","0.00%"
"9","Sant Andreu","55-60 dB","19.81%","18.70%","14.98%","16.50%","15.68%","16.48%","15.08%","14.14%","3.78%","3.52%","3.72%","4.83%","0.53%","0.44%","0.05%","0.72%","0.00%","0.00%","0.00%","0.00%","0.00%","0.01%","0.00%","2.35%","2.29%","0.00%"
"9","Sant Andreu","60-65 dB","18.17%","16.90%","13.30%","18.92%","15.62%","14.82%","13.06%","16.93%","3.75%","3.70%","4.50%","3.87%","0.20%","0.19%","0.01%","0.23%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.66%","1.66%","0.00%"
"9","Sant Andreu","65-70 dB","14.77%","13.41%","2.07%","14.81%","14.58%","13.21%","2.03%","14.41%","3.11%","4.03%","1.42%","3.13%","0.02%","0.01%","0.00%","0.02%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"9","Sant Andreu","70-75 dB","5.95%","2.59%","0.00%","9.60%","5.94%","2.60%","0.00%","9.57%","3.87%","1.92%","0.00%","4.61%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"9","Sant Andreu","75-80 dB","0.00%","0.00%","0.00%","0.70%","0.00%","0.00%","0.00%","0.71%","0.00%","0.00%","0.00%","0.33%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"9","Sant Andreu",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"10","Sant Martí","<40 dB","0.95%","3.16%","23.22%","0.43%","1.39%","3.92%","23.67%","0.54%","50.72%","56.87%","72.84%","44.18%","91.26%","91.10%","94.83%","90.08%","98.08%","99.90%","99.90%","98.85%","93.23%","94.08%","97.80%","91.39%","96.39%","99.59%"
"10","Sant Martí","40-45 dB","11.40%","17.15%","13.44%","6.77%","14.97%","19.17%","13.52%","8.82%","16.48%","15.61%","8.77%","18.35%","2.85%","2.61%","1.94%","2.83%","1.41%","0.10%","0.10%","0.72%","3.11%","3.07%","0.65%","0.00%","0.00%","0.29%"
"10","Sant Martí","45-50 dB","13.81%","12.81%","13.32%","15.87%","16.66%","13.86%","13.64%","19.68%","12.86%","9.16%","4.74%","14.62%","2.14%","2.25%","2.69%","2.51%","0.26%","0.00%","0.00%","0.23%","2.01%","1.75%","0.35%","0.00%","0.00%","0.11%"
"10","Sant Martí","50-55 dB","13.05%","13.02%","18.34%","13.61%","12.14%","13.43%","18.38%","12.13%","4.78%","4.69%","4.54%","6.07%","2.97%","2.75%","0.46%","2.09%","0.20%","0.00%","0.00%","0.20%","1.42%","0.54%","0.55%","5.00%","0.00%","0.01%"
"10","Sant Martí","55-60 dB","20.95%","20.47%","17.39%","17.90%","17.29%","18.20%","16.81%","15.24%","4.23%","4.44%","5.03%","4.50%","0.62%","1.06%","0.07%","2.16%","0.05%","0.00%","0.00%","0.00%","0.23%","0.56%","0.48%","3.21%","3.21%","0.00%"
"10","Sant Martí","60-65 dB","20.27%","18.78%","11.71%","19.94%","18.16%","17.01%","11.44%","18.62%","6.03%","5.07%","2.21%","5.54%","0.10%","0.20%","0.01%","0.26%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.17%","0.40%","0.40%","0.00%"
"10","Sant Martí","65-70 dB","13.72%","11.73%","2.58%","15.66%","13.58%","11.55%","2.54%","15.25%","2.15%","2.02%","1.87%","3.47%","0.06%","0.03%","0.00%","0.06%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"10","Sant Martí","70-75 dB","5.81%","2.88%","0.00%","8.92%","5.77%","2.86%","0.00%","8.82%","2.72%","2.14%","0.00%","2.45%","0.00%","0.00%","0.00%","0.01%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"10","Sant Martí","75-80 dB","0.04%","0.00%","0.00%","0.90%","0.04%","0.00%","0.00%","0.90%","0.03%","0.00%","0.00%","0.82%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"10","Sant Martí",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
