"Codi_Districte","Nom_Districte","Rang_soroll","TOTAL_D","TOTAL_E","TOTAL_N","TOTAL_DEN","TRANSIT_D","TRANSIT_E","TRANSIT_N","TRANSIT_DEN","GI_TR_D","GI_TR_E","GI_TR_N","GI_TR_DEN","FFCC_D","FFCC_E","FFCC_N","FFCC_DEN","INDUST_D","INDUST_E","INDUST_N","INDUST_DEN","VIANANTS_D","VIANANTS_E","OCI_N","PATIS_D","PATIS_E","PARCS_D"
"5","Sarrià-Sant Gervasi","50-55 dB","12.33%","11.85%","13.89%","13.67%","10.19%","11.81%","14.75%","10.56%","3.62%","3.59%","3.01%","4.67%","0.19%","0.09%","0.05%","0.28%","0.00%","0.00%","0.00%","0.00%","0.68%","0.25%","0.66%","5.50%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","55-60 dB","18.28%","16.66%","14.08%","15.10%","14.28%","14.76%","13.48%","13.32%","3.34%","3.01%","2.10%","3.41%","0.06%","0.05%","0.04%","0.07%","0.00%","0.00%","0.00%","0.00%","0.14%","0.05%","3.46%","2.00%","1.96%","0.00%"
"5","Sarrià-Sant Gervasi","60-65 dB","16.28%","15.18%","11.47%","16.24%","14.48%","13.56%","11.06%","15.23%","2.32%","2.09%","2.08%","2.66%","0.04%","0.02%","0.01%","0.05%","0.00%","0.00%","0.00%","0.00%","0.00%","0.09%","0.74%","1.42%","1.42%","0.00%"
"5","Sarrià-Sant Gervasi","65-70 dB","10.48%","11.03%","6.61%","12.37%","10.41%","10.98%","5.87%","11.23%","1.77%","1.98%","1.90%","1.91%","0.02%","0.01%","0.00%","0.02%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.26%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","70-75 dB","10.88%","6.35%","0.00%","12.52%","10.87%","6.35%","0.00%","12.23%","2.93%","2.07%","0.00%","2.79%","0.00%","0.00%","0.00%","0.01%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","75-80 dB","0.35%","0.00%","0.00%","2.10%","0.35%","0.00%","0.00%","2.11%","0.00%","0.00%","0.00%","0.69%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"6","Gràcia","<40 dB","2.07%","7.30%","33.23%","0.58%","2.82%","8.38%","33.69%","0.87%","77.74%","81.24%","89.32%","73.43%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","85.99%","86.95%","94.00%","90.83%","96.56%","99.83%"
"6","Gràcia","40-45 dB","17.42%","22.14%","10.70%","12.27%","21.26%","24.34%","10.92%","15.45%","9.03%","8.00%","3.98%","10.72%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","3.31%","4.26%","1.47%","0.00%","0.00%","0.13%"
"6","Gràcia","45-50 dB","13.62%","10.49%","9.33%","18.09%","17.88%","11.68%","10.25%","22.83%","5.77%","4.09%","1.89%","7.07%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","5.01%","4.54%","0.74%","0.00%","0.00%","0.03%"
"6","Gràcia","50-55 dB","9.85%","9.55%","11.07%","10.91%","8.45%","10.05%","11.73%","8.15%","2.17%","1.84%","1.21%","2.83%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","4.52%","3.49%","0.53%","5.20%","0.00%","0.01%"
"6","Gràcia","55-60 dB","16.44%","13.87%","15.55%","12.61%","11.89%","11.72%","14.45%","11.29%","1.32%","1.21%","1.09%","1.58%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.17%","0.62%","2.26%","1.75%","1.22%","0.00%"
"6","Gràcia","60-65 dB","15.39%","16.95%","15.45%","14.81%","12.52%","14.16%","14.72%","12.36%","1.10%","1.06%","1.01%","1.14%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.14%","0.84%","2.22%","2.22%","0.00%"
"6","Gràcia","65-70 dB","17.01%","15.08%","4.67%","17.75%","16.98%","15.05%","4.24%","16.19%","0.96%","1.03%","1.50%","1.12%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.16%","0.00%","0.00%","0.00%"
"6","Gràcia","70-75 dB","7.68%","4.62%","0.00%","11.35%","7.68%","4.62%","0.00%","11.16%","1.40%","1.53%","0.00%","1.12%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"6","Gràcia","75-80 dB","0.52%","0.00%","0.00%","1.63%","0.52%","0.00%","0.00%","1.70%","0.51%","0.00%","0.00%","0.99%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"6","Gràcia",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"7","Horta-Guinardó","<40 dB","4.43%","10.80%","36.37%","2.15%","4.74%","11.42%","36.42%","2.20%","68.70%","73.06%","84.27%","62.85%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","95.53%","96.76%","98.90%","95.58%","98.56%","100.00%"
"7","Horta-Guinardó","40-45 dB","21.47%","23.34%","10.12%","16.75%","23.67%","24.32%","10.11%","18.45%","12.63%","11.38%","5.30%","14.58%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","2.66%","2.42%","0.24%","0.00%","0.00%","0.00%"
"7","Horta-Guinardó","45-50 dB","13.42%","10.68%","12.07%","17.58%","14.98%","10.67%","12.19%","19.71%","7.25%","5.30%","3.85%","9.24%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.56%","0.55%","0.18%","0.00%","0.00%","0.00%"
"7","Horta-Guinardó","50-55 dB","12.09%","11.95%","16.25%","11.73%","10.77%","11.88%","16.20%","9.55%","4.07%","3.76%","2.33%","4.58%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.25%","0.26%","0.41%","2.98%","0.00%","0.00%"
