"Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Rang_soroll","TOTAL_D","TOTAL_E","TOTAL_N","TOTAL_DEN","TRANSIT_D","TRANSIT_E","TRANSIT_N","TRANSIT_DEN","GI_TR_D","GI_TR_E","GI_TR_N","GI_TR_DEN","FFCC_D","FFCC_E","FFCC_N","FFCC_DEN","INDUST_D","INDUST_E","INDUST_N","INDUST_DEN","VIANANTS_D","VIANANTS_E","OCI_N","PATIS_D","PATIS_E","PARCS_D"
"3","Sants-Montjuïc","17","Sants - Badal",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"3","Sants-Montjuïc","18","Sants","<40 dB","7.90%","19.63%","42.56%","1.39%","8.31%","20.98%","43.06%","1.44%","73.28%","78.67%","87.80%","67.65%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","86.89%","87.59%","95.49%","97.37%","98.53%","99.95%"
"3","Sants-Montjuïc","18","Sants","40-45 dB","24.68%","19.62%","6.03%","26.07%","27.09%","21.54%","6.33%","27.99%","12.26%","9.13%","2.30%","14.02%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","2.32%","7.36%","1.11%","0.00%","0.00%","0.03%"
"3","Sants-Montjuïc","18","Sants","45-50 dB","9.77%","6.59%","11.02%","13.64%","11.46%","6.72%","11.04%","15.69%","3.88%","2.30%","1.68%","6.91%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","8.22%","3.69%","0.75%","0.00%","0.00%","0.02%"
"3","Sants-Montjuïc","18","Sants","50-55 dB","10.99%","11.57%","15.40%","7.81%","9.35%","10.80%","15.79%","6.46%","1.62%","1.65%","1.89%","1.85%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","2.39%","0.90%","1.26%","1.16%","0.00%","0.00%"
"3","Sants-Montjuïc","18","Sants","55-60 dB","15.48%","17.15%","11.90%","13.83%","13.58%","15.42%","11.87%","12.91%","2.00%","1.90%","2.09%","1.96%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.18%","0.44%","0.44%","0.62%","0.62%","0.00%"
"3","Sants-Montjuïc","18","Sants","60-65 dB","15.15%","12.87%","10.54%","16.44%","14.18%","11.97%","9.37%","15.66%","1.91%","2.09%","2.92%","2.11%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.02%","0.94%","0.85%","0.85%","0.00%"
"3","Sants-Montjuïc","18","Sants","65-70 dB","9.43%","9.43%","2.55%","12.51%","9.43%","9.43%","2.54%","11.59%","1.42%","2.68%","1.32%","1.54%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.01%","0.00%","0.00%","0.00%"
"3","Sants-Montjuïc","18","Sants","70-75 dB","6.60%","3.14%","0.00%","8.31%","6.60%","3.14%","0.00%","8.26%","3.63%","1.58%","0.00%","3.96%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"3","Sants-Montjuïc","18","Sants","75-80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"3","Sants-Montjuïc","18","Sants",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","19","les Corts","<40 dB","0.05%","0.52%","26.32%","0.05%","0.05%","0.55%","26.40%","0.05%","46.61%","55.83%","70.61%","36.64%","97.95%","98.00%","98.64%","96.58%","100.00%","100.00%","100.00%","100.00%","95.79%","95.89%","97.32%","96.61%","98.01%","100.00%"
"4","Les Corts","19","les Corts","40-45 dB","16.14%","24.32%","7.64%","7.29%","17.66%","25.42%","7.68%","8.36%","21.16%","14.82%","8.03%","25.08%","0.68%","0.65%","0.59%","1.89%","0.00%","0.00%","0.00%","0.00%","0.60%","2.81%","0.76%","0.00%","0.00%","0.00%"
"4","Les Corts","19","les Corts","45-50 dB","12.73%","7.06%","8.98%","19.25%","14.29%","7.94%","9.12%","20.87%","8.98%","8.22%","6.45%","12.18%","0.61%","0.58%","0.14%","0.38%","0.00%","0.00%","0.00%","0.00%","3.52%","1.25%","0.52%","0.00%","0.00%","0.00%"
"4","Les Corts","19","les Corts","50-55 dB","7.55%","8.89%","18.93%","7.56%","6.84%","8.93%","19.52%","6.75%","6.37%","6.17%","4.73%","7.15%","0.13%","0.15%","0.63%","0.42%","0.00%","0.00%","0.00%","0.00%","0.09%","0.05%","1.40%","1.40%","0.00%","0.00%"
"4","Les Corts","19","les Corts","55-60 dB","15.75%","20.14%","18.71%","11.90%","14.51%","19.18%","17.90%","11.12%","5.67%","4.76%","3.31%","5.78%","0.63%","0.62%","0.00%","0.26%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.30%","1.30%","0.00%"
"4","Les Corts","19","les Corts","60-65 dB","22.09%","19.30%","17.34%","22.80%","20.99%","18.20%","17.30%","21.79%","3.40%","3.24%","5.34%","4.38%","0.00%","0.00%","0.00%","0.47%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.69%","0.69%","0.00%"
"4","Les Corts","19","les Corts","65-70 dB","14.37%","16.95%","2.08%","17.07%","14.35%","16.96%","2.08%","16.95%","2.28%","5.11%","1.53%","2.67%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","19","les Corts","70-75 dB","11.32%","2.82%","0.00%","13.06%","11.31%","2.82%","0.00%","13.16%","5.53%","1.85%","0.00%","5.20%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","19","les Corts","75-80 dB","0.00%","0.00%","0.00%","1.02%","0.00%","0.00%","0.00%","0.95%","0.00%","0.00%","0.00%","0.92%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","19","les Corts",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","20","la Maternitat i Sant Ramon","<40 dB","0.75%","3.36%","30.37%","0.20%","0.78%","3.45%","30.44%","0.24%","61.99%","67.37%","80.13%","53.00%","95.26%","95.32%","97.03%","94.10%","100.00%","100.00%","100.00%","100.00%","96.01%","96.11%","100.00%","100.00%","100.00%","99.52%"
"4","Les Corts","20","la Maternitat i Sant Ramon","40-45 dB","20.62%","26.18%","7.03%","9.88%","20.79%","26.83%","7.04%","10.11%","16.86%","12.70%","2.23%","21.27%","1.73%","1.78%","1.44%","2.07%","0.00%","0.00%","0.00%","0.00%","0.56%","2.92%","0.00%","0.00%","0.00%","0.48%"
"4","Les Corts","20","la Maternitat i Sant Ramon","45-50 dB","12.57%","7.06%","9.35%","21.99%","12.89%","6.98%","9.76%","21.97%","3.09%","2.30%","3.41%","6.71%","1.46%","1.46%","1.47%","1.53%","0.00%","0.00%","0.00%","0.00%","3.43%","0.97%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","20","la Maternitat i Sant Ramon","50-55 dB","8.47%","9.83%","18.56%","7.75%","8.15%","9.67%","18.10%","7.65%","2.67%","3.40%","3.80%","2.02%","1.45%","1.41%","0.06%","1.51%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","20","la Maternitat i Sant Ramon","55-60 dB","15.69%","17.97%","18.11%","11.48%","15.78%","17.52%","18.09%","11.56%","3.78%","3.79%","2.68%","4.25%","0.10%","0.03%","0.00%","0.79%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","20","la Maternitat i Sant Ramon","60-65 dB","20.72%","18.38%","14.73%","23.25%","20.45%","18.34%","14.73%","22.96%","3.00%","2.57%","7.07%","3.24%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","20","la Maternitat i Sant Ramon","65-70 dB","12.70%","15.24%","1.85%","12.37%","12.68%","15.23%","1.84%","12.46%","5.11%","7.17%","0.68%","2.49%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","20","la Maternitat i Sant Ramon","70-75 dB","8.48%","1.98%","0.00%","12.58%","8.48%","1.98%","0.00%","12.54%","3.50%","0.70%","0.00%","6.82%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","20","la Maternitat i Sant Ramon","75-80 dB","0.00%","0.00%","0.00%","0.50%","0.00%","0.00%","0.00%","0.51%","0.00%","0.00%","0.00%","0.20%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","20","la Maternitat i Sant Ramon",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","21","Pedralbes","<40 dB","0.69%","1.51%","11.40%","0.42%","0.70%","1.52%","11.43%","0.43%","32.24%","41.59%","59.35%","25.44%","96.26%","96.38%","98.89%","94.13%","100.00%","100.00%","100.00%","100.00%","99.97%","99.98%","100.00%","89.43%","100.00%","99.71%"
"4","Les Corts","21","Pedralbes","40-45 dB","5.64%","9.56%","13.10%","3.19%","6.65%","9.58%","13.06%","3.38%","24.96%","18.27%","11.54%","24.36%","2.46%","2.57%","1.11%","3.43%","0.00%","0.00%","0.00%","0.00%","0.02%","0.02%","0.00%","0.00%","0.00%","0.29%"
"4","Les Corts","21","Pedralbes","45-50 dB","7.32%","13.30%","18.82%","7.09%","11.26%","13.30%","18.82%","10.76%","11.74%","11.55%","13.92%","14.05%","1.28%","1.05%","0.00%","1.66%","0.00%","0.00%","0.00%","0.00%","0.01%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","21","Pedralbes","50-55 dB","13.72%","18.68%","23.51%","12.96%","17.08%","18.68%","23.51%","15.48%","12.93%","13.54%","6.40%","12.84%","0.00%","0.00%","0.00%","0.78%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","3.38%","0.00%","0.00%"
"4","Les Corts","21","Pedralbes","55-60 dB","31.00%","23.07%","21.53%","26.19%","23.17%","23.04%","21.56%","20.06%","7.84%","6.21%","5.68%","10.72%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","7.19%","0.00%","0.00%"
"4","Les Corts","21","Pedralbes","60-65 dB","23.91%","21.67%","9.64%","25.22%","23.41%","21.67%","9.61%","24.98%","5.86%","5.68%","2.72%","6.04%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","21","Pedralbes","65-70 dB","12.96%","9.72%","2.00%","18.19%","12.97%","9.72%","2.01%","18.17%","2.96%","2.73%","0.39%","4.37%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","21","Pedralbes","70-75 dB","4.76%","2.49%","0.00%","6.70%","4.76%","2.49%","0.00%","6.70%","1.47%","0.43%","0.00%","2.15%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","21","Pedralbes","75-80 dB","0.00%","0.00%","0.00%","0.04%","0.00%","0.00%","0.00%","0.04%","0.00%","0.00%","0.00%","0.03%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","21","Pedralbes",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","<40 dB","29.15%","34.49%","54.70%","24.12%","29.81%","35.06%","55.00%","24.55%","84.88%","85.37%","88.31%","83.62%","91.34%","94.41%","96.25%","89.06%","100.00%","100.00%","100.00%","100.00%","98.40%","99.79%","100.00%","100.00%","100.00%","100.00%"
"5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","40-45 dB","18.34%","20.20%","15.01%","16.89%","18.36%","20.07%","15.23%","16.65%","2.88%","3.22%","3.75%","2.69%","3.90%","3.48%","2.73%","5.20%","0.00%","0.00%","0.00%","0.00%","1.60%","0.21%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","45-50 dB","18.41%","15.40%","12.54%","19.62%","18.26%","15.23%","12.22%","20.09%","3.65%","3.75%","3.63%","3.31%","3.18%","1.49%","0.70%","3.46%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","50-55 dB","12.75%","11.96%","7.79%","13.95%","12.56%","11.82%","7.76%","13.78%","3.48%","3.39%","2.67%","4.09%","1.13%","0.43%","0.24%","1.62%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","55-60 dB","8.70%","7.95%","6.61%","10.28%","8.60%","7.93%","6.55%","9.89%","2.79%","2.62%","1.43%","2.86%","0.34%","0.17%","0.06%","0.45%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","60-65 dB","6.53%","6.59%","3.35%","7.46%","6.33%","6.57%","3.24%","7.34%","1.79%","1.41%","0.21%","2.49%","0.09%","0.02%","0.02%","0.17%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","65-70 dB","5.03%","3.37%","0.00%","5.61%","5.01%","3.28%","0.00%","5.67%","0.51%","0.24%","0.00%","0.85%","0.02%","0.00%","0.00%","0.04%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","70-75 dB","1.09%","0.04%","0.00%","2.07%","1.07%","0.04%","0.00%","2.03%","0.02%","0.00%","0.00%","0.09%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","75-80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","23","Sarrià","<40 dB","3.57%","9.15%","29.47%","0.69%","3.73%","9.80%","30.40%","0.71%","71.35%","77.13%","88.22%","65.07%","97.85%","98.46%","98.80%","97.52%","100.00%","100.00%","100.00%","100.00%","88.25%","90.06%","98.80%","95.65%","99.21%","99.98%"
"5","Sarrià-Sant Gervasi","23","Sarrià","40-45 dB","18.27%","18.77%","12.65%","16.32%","21.47%","20.36%","13.03%","18.33%","14.76%","11.24%","4.56%","17.66%","0.77%","0.58%","0.49%","0.89%","0.00%","0.00%","0.00%","0.00%","6.37%","7.92%","0.27%","0.00%","0.00%","0.02%"
"5","Sarrià-Sant Gervasi","23","Sarrià","45-50 dB","13.17%","12.98%","19.25%","14.12%","13.40%","13.21%","18.77%","15.06%","5.90%","4.44%","2.56%","7.54%","0.53%","0.46%","0.31%","0.60%","0.00%","0.00%","0.00%","0.00%","4.06%","1.39%","0.37%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","23","Sarrià","50-55 dB","16.56%","19.38%","19.42%","15.51%","15.94%","18.10%","18.95%","14.92%","2.51%","2.64%","2.03%","3.34%","0.40%","0.15%","0.14%","0.47%","0.00%","0.00%","0.00%","0.00%","1.32%","0.63%","0.37%","3.30%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","23","Sarrià","55-60 dB","22.03%","19.57%","11.82%","20.80%","19.94%","19.06%","11.61%","19.32%","2.17%","1.90%","1.81%","2.43%","0.15%","0.20%","0.19%","0.16%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.19%","1.05%","0.79%","0.00%"
"5","Sarrià-Sant Gervasi","23","Sarrià","60-65 dB","14.55%","12.25%","6.20%","17.91%","13.79%","11.65%","6.06%","17.10%","1.76%","1.78%","0.74%","1.87%","0.18%","0.12%","0.06%","0.18%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","23","Sarrià","65-70 dB","9.42%","6.57%","1.19%","10.34%","9.32%","6.49%","1.18%","10.30%","1.34%","0.78%","0.08%","1.59%","0.10%","0.03%","0.01%","0.14%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","23","Sarrià","70-75 dB","2.41%","1.33%","0.00%","4.26%","2.39%","1.33%","0.00%","4.23%","0.20%","0.09%","0.00%","0.48%","0.02%","0.00%","0.00%","0.04%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","23","Sarrià","75-80 dB","0.02%","0.00%","0.00%","0.05%","0.02%","0.00%","0.00%","0.03%","0.01%","0.00%","0.00%","0.02%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","23","Sarrià",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","24","les Tres Torres","<40 dB","0.25%","3.70%","25.74%","0.10%","0.55%","3.98%","25.77%","0.10%","36.93%","47.16%","69.31%","25.44%","99.55%","99.78%","99.85%","99.11%","100.00%","100.00%","100.00%","100.00%","98.79%","99.24%","99.36%","98.40%","99.45%","100.00%"
"5","Sarrià-Sant Gervasi","24","les Tres Torres","40-45 dB","17.23%","20.84%","17.16%","11.94%","17.50%","21.04%","17.15%","12.35%","25.17%","21.81%","10.18%","29.98%","0.25%","0.13%","0.10%","0.65%","0.00%","0.00%","0.00%","0.00%","0.90%","0.58%","0.30%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","24","les Tres Torres","45-50 dB","18.17%","17.14%","16.96%","18.92%","18.87%","17.17%","16.99%","19.32%","15.10%","10.46%","5.51%","18.43%","0.15%","0.05%","0.05%","0.14%","0.00%","0.00%","0.00%","0.00%","0.28%","0.18%","0.14%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","24","les Tres Torres","50-55 dB","16.20%","17.09%","17.68%","16.16%","16.24%","17.12%","17.67%","15.89%","5.99%","5.38%","4.84%","7.62%","0.04%","0.04%","0.00%","0.06%","0.00%","0.00%","0.00%","0.00%","0.03%","0.00%","0.20%","1.05%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","24","les Tres Torres","55-60 dB","19.83%","17.89%","10.82%","18.61%","19.13%","17.88%","10.78%","18.61%","5.02%","4.86%","3.68%","5.28%","0.01%","0.00%","0.00%","0.04%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.03%","0.03%","0.00%"
"5","Sarrià-Sant Gervasi","24","les Tres Torres","60-65 dB","13.33%","11.44%","10.00%","15.58%","12.73%","10.91%","10.00%","15.16%","3.88%","3.67%","5.33%","4.22%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.52%","0.52%","0.00%"
"5","Sarrià-Sant Gervasi","24","les Tres Torres","65-70 dB","9.86%","10.05%","1.64%","9.74%","9.87%","10.05%","1.64%","9.61%","4.30%","5.32%","1.15%","3.69%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","24","les Tres Torres","70-75 dB","5.13%","1.85%","0.00%","8.24%","5.11%","1.85%","0.00%","8.24%","3.61%","1.34%","0.00%","4.96%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","24","les Tres Torres","75-80 dB","0.00%","0.00%","0.00%","0.71%","0.00%","0.00%","0.00%","0.72%","0.00%","0.00%","0.00%","0.38%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","24","les Tres Torres",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova","<40 dB","0.30%","0.83%","28.36%","0.12%","0.31%","0.97%","28.65%","0.12%","67.79%","73.16%","85.93%","62.33%","99.19%","99.43%","99.59%","99.04%","100.00%","100.00%","100.00%","100.00%","95.06%","95.94%","100.00%","92.56%","95.38%","100.00%"
"5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova","40-45 dB","12.60%","22.61%","13.38%","7.61%","16.52%","26.65%","13.39%","10.41%","14.80%","12.64%","5.30%","16.25%","0.30%","0.21%","0.14%","0.38%","0.00%","0.00%","0.00%","0.00%","3.13%","2.59%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova","45-50 dB","18.14%","13.33%","13.34%","19.85%","21.38%","14.24%","13.21%","23.43%","7.42%","5.55%","3.25%","9.52%","0.20%","0.15%","0.12%","0.21%","0.00%","0.00%","0.00%","0.00%","1.55%","1.47%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova","50-55 dB","11.92%","13.31%","14.41%","12.38%","11.01%","12.97%","14.25%","11.11%","3.59%","3.09%","1.83%","4.49%","0.13%","0.14%","0.13%","0.15%","0.00%","0.00%","0.00%","0.00%","0.26%","0.00%","0.00%","2.82%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova","55-60 dB","20.03%","17.41%","14.37%","18.50%","15.59%","14.35%","14.36%","15.01%","2.20%","1.85%","1.25%","2.47%","0.15%","0.07%","0.02%","0.13%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","3.04%","3.04%","0.00%"
"5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova","60-65 dB","15.07%","15.94%","7.00%","15.48%","13.26%","14.25%","7.00%","13.74%","1.41%","1.22%","0.94%","1.66%","0.03%","0.00%","0.00%","0.09%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.58%","1.58%","0.00%"
"5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova","65-70 dB","10.80%","7.25%","9.14%","12.23%","10.79%","7.25%","9.14%","12.30%","0.88%","0.93%","1.50%","1.14%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova","70-75 dB","11.14%","9.32%","0.00%","12.17%","11.14%","9.32%","0.00%","12.15%","1.91%","1.56%","0.00%","1.90%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova","75-80 dB","0.00%","0.00%","0.00%","1.66%","0.00%","0.00%","0.00%","1.73%","0.00%","0.00%","0.00%","0.24%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany","<40 dB","0.07%","0.51%","23.67%","0.07%","0.09%","0.51%","26.09%","0.09%","36.89%","50.86%","76.29%","20.84%","98.54%","98.62%","99.38%","97.94%","100.00%","100.00%","100.00%","100.00%","97.68%","97.93%","78.24%","87.94%","96.53%","99.43%"
"5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany","40-45 dB","9.68%","22.23%","14.94%","1.61%","12.58%","24.59%","13.26%","2.92%","32.22%","24.99%","6.92%","40.36%","0.83%","0.76%","0.48%","1.17%","0.00%","0.00%","0.00%","0.00%","0.72%","0.83%","4.30%","0.00%","0.00%","0.57%"
