"Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Rang_soroll","TOTAL_D","TOTAL_E","TOTAL_N","TOTAL_DEN","TRANSIT_D","TRANSIT_E","TRANSIT_N","TRANSIT_DEN","GI_TR_D","GI_TR_E","GI_TR_N","GI_TR_DEN","FFCC_D","FFCC_E","FFCC_N","FFCC_DEN","INDUST_D","INDUST_E","INDUST_N","INDUST_DEN","VIANANTS_D","VIANANTS_E","OCI_N","PATIS_D","PATIS_E","PARCS_D"
"1","Ciutat Vella","2","el Barri Gòtic","65-70 dB","2.30%","2.07%","4.75%","12.75%","1.91%","2.15%","1.56%","4.74%","0.43%","0.81%","1.06%","0.49%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","2.44%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","2","el Barri Gòtic","70-75 dB","2.90%","1.84%","0.00%","5.50%","2.89%","1.74%","0.00%","2.78%","1.76%","1.18%","0.00%","1.66%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","2","el Barri Gòtic","75-80 dB","0.03%","0.00%","0.00%","0.44%","0.03%","0.00%","0.00%","0.35%","0.00%","0.00%","0.00%","0.22%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","2","el Barri Gòtic",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","3","la Barceloneta","<40 dB","1.23%","5.92%","19.94%","0.50%","1.79%","7.35%","20.57%","0.67%","58.52%","66.09%","82.69%","53.20%","96.51%","96.09%","99.23%","95.04%","100.00%","100.00%","100.00%","100.00%","83.52%","84.24%","90.54%","98.89%","98.89%","100.00%"
"1","Ciutat Vella","3","la Barceloneta","40-45 dB","9.87%","9.20%","22.10%","8.21%","14.06%","12.91%","22.50%","11.40%","20.43%","16.93%","9.34%","20.21%","2.67%","2.97%","0.77%","2.69%","0.00%","0.00%","0.00%","0.00%","8.33%","8.49%","2.84%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","3","la Barceloneta","45-50 dB","17.32%","20.60%","28.72%","13.05%","18.09%","21.80%","29.00%","14.69%","10.47%","9.33%","4.39%","12.42%","0.82%","0.91%","0.00%","2.16%","0.00%","0.00%","0.00%","0.00%","2.87%","3.44%","2.77%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","3","la Barceloneta","50-55 dB","32.48%","33.72%","18.81%","27.56%","29.33%","29.04%","18.27%","25.36%","6.42%","4.18%","1.61%","8.49%","0.00%","0.03%","0.00%","0.11%","0.00%","0.00%","0.00%","0.00%","4.81%","3.69%","1.03%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","3","la Barceloneta","55-60 dB","22.22%","19.25%","6.06%","28.55%","20.69%","18.45%","7.64%","27.15%","2.04%","1.50%","0.57%","3.20%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.47%","0.14%","2.81%","0.45%","0.45%","0.00%"
"1","Ciutat Vella","3","la Barceloneta","60-65 dB","13.05%","8.86%","3.52%","14.54%","12.23%","8.01%","1.17%","14.03%","0.56%","0.56%","0.55%","0.75%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.01%","0.66%","0.66%","0.00%"
"1","Ciutat Vella","3","la Barceloneta","65-70 dB","2.65%","1.56%","0.85%","6.26%","2.63%","1.56%","0.85%","5.39%","0.42%","0.53%","0.85%","0.47%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","3","la Barceloneta","70-75 dB","0.82%","0.89%","0.00%","0.73%","0.82%","0.88%","0.00%","0.71%","0.78%","0.88%","0.00%","0.68%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","3","la Barceloneta","75-80 dB","0.36%","0.00%","0.00%","0.60%","0.36%","0.00%","0.00%","0.60%","0.36%","0.00%","0.00%","0.58%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","3","la Barceloneta",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","<40 dB","4.98%","13.64%","43.70%","0.31%","12.98%","30.13%","51.50%","3.10%","71.00%","79.09%","90.34%","63.61%","99.56%","99.57%","99.65%","99.56%","100.00%","100.00%","100.00%","100.00%","38.14%","42.49%","80.65%","98.79%","99.56%","99.81%"
"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","40-45 dB","22.45%","19.97%","6.90%","21.55%","34.15%","20.97%","6.17%","37.70%","17.15%","11.18%","2.80%","21.09%","0.07%","0.06%","0.08%","0.05%","0.00%","0.00%","0.00%","0.00%","14.27%","14.45%","3.54%","0.00%","0.00%","0.19%"
"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","45-50 dB","17.83%","16.64%","10.19%","19.97%","8.15%","6.34%","10.75%","12.93%","4.24%","2.84%","1.55%","7.05%","0.10%","0.09%","0.01%","0.10%","0.00%","0.00%","0.00%","0.00%","20.42%","23.15%","1.76%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","50-55 dB","12.61%","11.81%","16.63%","9.06%","8.37%","10.47%","17.79%","5.32%","1.63%","1.48%","1.73%","1.81%","0.01%","0.02%","0.26%","0.03%","0.00%","0.00%","0.00%","0.00%","17.60%","14.68%","2.26%","0.77%","0.00%","0.00%"
"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","55-60 dB","16.53%","19.73%","11.88%","12.97%","16.12%","17.72%","7.65%","14.56%","1.87%","1.84%","1.27%","1.65%","0.26%","0.26%","0.00%","0.02%","0.00%","0.00%","0.00%","0.00%","8.97%","4.18%","7.89%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","60-65 dB","17.39%","11.79%","8.67%","22.10%","12.22%","8.18%","4.64%","16.25%","1.57%","1.27%","1.41%","1.82%","0.00%","0.00%","0.00%","0.24%","0.00%","0.00%","0.00%","0.00%","0.60%","1.05%","3.83%","0.44%","0.44%","0.00%"
"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","65-70 dB","5.49%","4.92%","2.03%","9.02%","5.30%","4.68%","1.50%","6.06%","1.32%","1.40%","0.90%","1.23%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.07%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","70-75 dB","2.72%","1.50%","0.00%","4.23%","2.71%","1.51%","0.00%","3.26%","1.22%","0.90%","0.00%","0.94%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","75-80 dB","0.00%","0.00%","0.00%","0.79%","0.00%","0.00%","0.00%","0.82%","0.00%","0.00%","0.00%","0.80%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","5","el Fort Pienc","<40 dB","0.17%","0.17%","24.12%","0.17%","0.21%","0.21%","24.18%","0.21%","29.70%","35.19%","60.85%","22.97%","99.70%","99.63%","100.00%","99.44%","100.00%","100.00%","100.00%","100.00%","95.29%","95.75%","100.00%","87.90%","94.10%","100.00%"
"2","Eixample","5","el Fort Pienc","40-45 dB","8.59%","18.64%","18.06%","0.90%","11.69%","22.12%","18.00%","1.22%","20.53%","24.82%","12.48%","19.78%","0.30%","0.37%","0.00%","0.56%","0.00%","0.00%","0.00%","0.00%","1.01%","1.65%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","5","el Fort Pienc","45-50 dB","21.82%","18.06%","1.92%","25.83%","28.38%","19.76%","1.92%","34.34%","21.36%","13.61%","7.25%","22.72%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","2.42%","2.60%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","5","el Fort Pienc","50-55 dB","3.65%","1.64%","4.78%","10.18%","3.03%","2.00%","4.78%","6.99%","6.48%","6.78%","5.72%","10.63%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.28%","0.00%","0.00%","6.21%","0.00%","0.00%"
"2","Eixample","5","el Fort Pienc","55-60 dB","10.42%","8.75%","15.60%","6.93%","3.80%","4.50%","15.67%","2.62%","6.40%","5.71%","3.81%","6.64%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","5.31%","5.32%","0.00%"
"2","Eixample","5","el Fort Pienc","60-65 dB","9.41%","16.26%","30.38%","6.67%","6.95%","14.97%","30.32%","5.33%","4.19%","3.98%","5.23%","4.81%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.58%","0.58%","0.00%"
"2","Eixample","5","el Fort Pienc","65-70 dB","34.13%","31.28%","5.14%","24.74%","34.14%","31.24%","5.13%","24.56%","4.08%","5.14%","4.66%","3.54%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","5","el Fort Pienc","70-75 dB","10.67%","5.20%","0.00%","22.04%","10.66%","5.20%","0.00%","22.15%","6.12%","4.77%","0.00%","6.45%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","5","el Fort Pienc","75-80 dB","1.14%","0.00%","0.00%","2.54%","1.14%","0.00%","0.00%","2.58%","1.14%","0.00%","0.00%","2.46%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","5","el Fort Pienc",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","6","la Sagrada Família","<40 dB","0.10%","0.10%","23.72%","0.10%","0.10%","0.10%","23.74%","0.10%","48.35%","51.43%","66.69%","44.67%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","86.53%","88.54%","100.00%","95.70%","98.21%","100.00%"
