Nom_Barri,Any,Trimestre,Eur,Eur_m2,Accidents
la Vall d'Hebron,2020,4,817.1,11.4,10
Horta,2020,4,747.5,12.1,18
Vilapicina i la Torre Llobeta,2020,4,751.8,11.7,34
Porta,2020,4,723.6,12.0,24
el Turó de la Peira,2020,4,681.3,11.4,13
la Guineueta,2020,4,750.2,10.7,15
Canyelles,2020,4,756.1,9.5,1
les Roquetes,2020,4,651.3,11.6,14
Verdun,2020,4,644.4,12.2,4
la Prosperitat,2020,4,673.8,12.1,22
la Trinitat Nova,2020,4,600.2,11.9,12
Ciutat Meridiana,2020,4,514.1,8.8,2
la Trinitat Vella,2020,4,610.0,10.9,16
el Bon Pastor,2020,4,688.9,10.7,36
Sant Andreu,2020,4,794.0,12.3,38
la Sagrera,2020,4,766.6,12.3,10
el Congrés i els Indians,2020,4,779.4,12.6,11
Navas,2020,4,846.3,12.5,13
el Camp de l'Arpa del Clot,2020,4,817.7,12.9,38
el Clot,2020,4,870.8,13.1,25
el Parc i la Llacuna del Poblenou,2020,4,952.2,13.8,26
la Vila Olímpica del Poblenou,2020,4,1332.4,16.8,12
el Poblenou,2020,4,974.7,14.5,45
Diagonal Mar i el Front Marítim del Poblenou,2020,4,1392.6,17.5,19
el Besòs i el Maresme,2020,4,731.6,11.7,9
Provençals del Poblenou,2020,4,859.9,12.6,43
Sant Martí de Provençals,2020,4,807.4,11.8,27
la Verneda i la Pau,2020,4,765.9,11.6,17
el Raval,2021,1,759.2,12.8,25
el Barri Gòtic,2021,1,929.6,12.3,21
la Barceloneta,2021,1,808.9,15.5,20
"Sant Pere, Santa Caterina i la Ribera",2021,1,879.4,13.3,19
el Fort Pienc,2021,1,918.0,12.9,55
la Sagrada Família,2021,1,887.1,13.5,81
la Dreta de l'Eixample,2021,1,1176.7,13.0,197
l'Antiga Esquerra de l'Eixample,2021,1,1040.2,13.7,122
la Nova Esquerra de l'Eixample,2021,1,964.0,13.6,69
Sant Antoni,2021,1,898.7,12.5,45
el Poble Sec,2021,1,781.6,13.5,34
la Marina de Port,2021,1,810.6,11.6,24
la Font de la Guatlla,2021,1,799.5,12.7,20
Hostafrancs,2021,1,778.4,12.9,27
la Bordeta,2021,1,807.6,12.2,23
Sants - Badal,2021,1,788.1,13.0,7
Sants,2021,1,829.1,13.2,29
les Corts,2021,1,990.3,13.8,52
la Maternitat i Sant Ramon,2021,1,927.3,12.5,45
Pedralbes,2021,1,1598.2,14.0,32
"Vallvidrera, el Tibidabo i les Planes",2021,1,1531.7,15.7,14
Sarrià,2021,1,1263.9,15.6,40
les Tres Torres,2021,1,1578.0,16.0,28
Sant Gervasi - la Bonanova,2021,1,1264.8,15.2,51
Sant Gervasi - Galvany,2021,1,1294.9,14.3,68
el Putxet i el Farró,2021,1,990.1,14.1,27
Vallcarca i els Penitents,2021,1,959.0,13.6,18
el Coll,2021,1,745.4,12.5,2
la Salut,2021,1,859.1,12.8,20
la Vila de Gràcia,2021,1,910.6,14.2,25
el Camp d'en Grassot i Gràcia Nova,2021,1,865.3,13.6,29
el Baix Guinardó,2021,1,817.3,12.3,26
Can Baró,2021,1,741.1,12.7,4
el Guinardó,2021,1,791.7,12.3,28
la Font d'en Fargues,2021,1,795.0,12.3,8
el Carmel,2021,1,668.8,11.4,22
la Teixonera,2021,1,716.1,11.8,3
Sant Genís dels Agudells,2021,1,700.5,10.4,13
Montbau,2021,1,741.4,11.2,12
la Vall d'Hebron,2021,1,827.0,11.9,24
Horta,2021,1,747.4,11.8,21
Vilapicina i la Torre Llobeta,2021,1,736.5,11.3,20
Porta,2021,1,707.2,11.5,16
el Turó de la Peira,2021,1,687.2,11.0,6
la Guineueta,2021,1,691.6,9.9,17
Canyelles,2021,1,762.5,9.3,9
les Roquetes,2021,1,643.6,11.6,11
Verdun,2021,1,631.6,12.5,2
la Prosperitat,2021,1,671.8,11.8,21
la Trinitat Nova,2021,1,605.0,11.5,14
Ciutat Meridiana,2021,1,520.2,9.0,4
la Trinitat Vella,2021,1,625.1,10.7,22
el Bon Pastor,2021,1,658.9,10.9,22
Sant Andreu,2021,1,762.5,11.7,47
la Sagrera,2021,1,759.3,12.1,13
el Congrés i els Indians,2021,1,756.9,11.7,13
Navas,2021,1,824.2,12.2,20
el Camp de l'Arpa del Clot,2021,1,814.5,12.9,27
el Clot,2021,1,853.6,13.0,26
el Parc i la Llacuna del Poblenou,2021,1,927.5,13.5,20
la Vila Olímpica del Poblenou,2021,1,1298.9,17.3,17
el Poblenou,2021,1,928.5,14.3,36
Diagonal Mar i el Front Marítim del Poblenou,2021,1,978.4,15.1,16
el Besòs i el Maresme,2021,1,704.2,11.4,32
Provençals del Poblenou,2021,1,976.7,13.5,35
Sant Martí de Provençals,2021,1,794.6,11.3,21
la Verneda i la Pau,2021,1,740.8,11.1,17
el Raval,2021,2,774.2,12.9,34
el Barri Gòtic,2021,2,934.1,12.7,30
la Barceloneta,2021,2,814.8,15.9,37
"Sant Pere, Santa Caterina i la Ribera",2021,2,862.1,13.6,27
el Fort Pienc,2021,2,907.1,12.7,75
la Sagrada Família,2021,2,887.4,13.5,71
la Dreta de l'Eixample,2021,2,1196.3,13.1,188
l'Antiga Esquerra de l'Eixample,2021,2,1070.1,13.3,117
la Nova Esquerra de l'Eixample,2021,2,953.3,13.2,86
Sant Antoni,2021,2,928.8,13.0,49
el Poble Sec,2021,2,773.7,13.5,58
la Marina de Port,2021,2,772.4,10.8,27
la Font de la Guatlla,2021,2,810.8,12.5,14
Hostafrancs,2021,2,772.8,13.1,34
la Bordeta,2021,2,815.4,12.0,32
Sants - Badal,2021,2,778.1,13.1,13
Sants,2021,2,815.4,13.2,36
les Corts,2021,2,998.8,13.8,63
la Maternitat i Sant Ramon,2021,2,904.8,13.3,45
Pedralbes,2021,2,1680.3,15.5,41
"Vallvidrera, el Tibidabo i les Planes",2021,2,1074.7,13.0,8
Sarrià,2021,2,1298.0,15.9,50
les Tres Torres,2021,2,1429.0,15.0,37
Sant Gervasi - la Bonanova,2021,2,1226.1,14.7,45
Sant Gervasi - Galvany,2021,2,1339.1,14.5,78
el Putxet i el Farró,2021,2,1024.4,14.2,16
Vallcarca i els Penitents,2021,2,924.5,13.6,25
el Coll,2021,2,796.8,12.8,3
la Salut,2021,2,859.2,12.1,26
la Vila de Gràcia,2021,2,881.0,13.9,41
el Camp d'en Grassot i Gràcia Nova,2021,2,880.1,13.6,20
el Baix Guinardó,2021,2,820.2,12.8,30
Can Baró,2021,2,773.5,12.4,5
el Guinardó,2021,2,818.2,12.8,30
la Font d'en Fargues,2021,2,817.7,11.8,8
el Carmel,2021,2,667.6,11.6,25
la Teixonera,2021,2,713.8,12.0,5
Sant Genís dels Agudells,2021,2,653.5,10.2,9
Montbau,2021,2,729.9,10.9,9
la Vall d'Hebron,2021,2,884.2,13.4,20
Horta,2021,2,734.9,11.8,40
Vilapicina i la Torre Llobeta,2021,2,754.4,11.8,19
Porta,2021,2,698.5,11.1,18
el Turó de la Peira,2021,2,671.8,11.4,10
la Guineueta,2021,2,698.3,10.1,7
Canyelles,2021,2,673.8,8.7,17
les Roquetes,2021,2,608.7,11.2,12
Verdun,2021,2,648.9,12.7,5
la Prosperitat,2021,2,680.9,12.1,28
la Trinitat Nova,2021,2,598.6,11.9,17
Ciutat Meridiana,2021,2,488.1,8.1,2
la Trinitat Vella,2021,2,592.4,10.1,16
el Bon Pastor,2021,2,741.9,11.3,37
Sant Andreu,2021,2,757.2,11.9,52
la Sagrera,2021,2,737.4,11.4,24
el Congrés i els Indians,2021,2,791.3,11.3,14
Navas,2021,2,827.2,11.7,18
el Camp de l'Arpa del Clot,2021,2,795.6,12.9,40
el Clot,2021,2,786.4,12.6,41
el Parc i la Llacuna del Poblenou,2021,2,911.1,13.9,16
la Vila Olímpica del Poblenou,2021,2,1248.6,17.3,27
el Poblenou,2021,2,912.4,14.1,39
Diagonal Mar i el Front Marítim del Poblenou,2021,2,948.3,15.8,25
el Besòs i el Maresme,2021,2,700.8,11.2,19
Provençals del Poblenou,2021,2,884.8,13.2,32
Sant Martí de Provençals,2021,2,799.7,11.3,10
la Verneda i la Pau,2021,2,728.2,10.9,16
el Raval,2021,3,770.5,12.9,42
el Barri Gòtic,2021,3,968.4,12.9,36
la Barceloneta,2021,3,826.0,16.3,40
"Sant Pere, Santa Caterina i la Ribera",2021,3,889.1,13.4,31
el Fort Pienc,2021,3,970.2,13.2,63
la Sagrada Família,2021,3,912.4,13.6,89
la Dreta de l'Eixample,2021,3,1168.4,13.0,229
l'Antiga Esquerra de l'Eixample,2021,3,1072.9,13.6,102
la Nova Esquerra de l'Eixample,2021,3,968.6,13.3,76
Sant Antoni,2021,3,934.3,13.0,62
el Poble Sec,2021,3,787.0,13.8,47
la Marina de Port,2021,3,698.5,10.2,35
la Font de la Guatlla,2021,3,858.7,12.7,10
Hostafrancs,2021,3,804.6,13.0,27
la Bordeta,2021,3,832.5,12.3,19
Sants - Badal,2021,3,805.9,13.5,10
Sants,2021,3,836.7,12.9,39
les Corts,2021,3,1017.0,14.3,64
la Maternitat i Sant Ramon,2021,3,982.9,13.0,45
Pedralbes,2021,3,1816.5,15.8,34
"Vallvidrera, el Tibidabo i les Planes",2021,3,1009.5,11.4,12
Sarrià,2021,3,1345.2,16.1,29
les Tres Torres,2021,3,1566.5,15.5,27
Sant Gervasi - la Bonanova,2021,3,1159.6,15.3,38
Sant Gervasi - Galvany,2021,3,1352.5,14.7,72
el Putxet i el Farró,2021,3,1004.7,14.1,9
Vallcarca i els Penitents,2021,3,961.0,13.8,26
el Coll,2021,3,755.5,12.9,3
la Salut,2021,3,934.6,12.8,13
la Vila de Gràcia,2021,3,891.6,14.2,38
el Camp d'en Grassot i Gràcia Nova,2021,3,899.7,13.7,24
el Baix Guinardó,2021,3,836.3,12.7,26
Can Baró,2021,3,753.7,12.6,9
el Guinardó,2021,3,823.6,12.7,14
la Font d'en Fargues,2021,3,817.3,12.4,3
el Carmel,2021,3,679.3,11.9,13
la Teixonera,2021,3,686.3,11.7,3
Sant Genís dels Agudells,2021,3,785.6,11.1,13
Montbau,2021,3,745.9,11.3,8
la Vall d'Hebron,2021,3,878.1,12.1,16
Horta,2021,3,754.9,12.1,32
Vilapicina i la Torre Llobeta,2021,3,747.5,11.3,18
Porta,2021,3,712.8,11.7,19
el Turó de la Peira,2021,3,681.8,11.2,10
la Guineueta,2021,3,653.2,9.4,15
Canyelles,2021,3,769.9,10.0,10
les Roquetes,2021,3,628.7,11.5,11
Verdun,2021,3,666.6,12.0,4
la Prosperitat,2021,3,669.5,11.6,17
la Trinitat Nova,2021,3,610.4,11.6,10
Ciutat Meridiana,2021,3,547.7,9.3,3
la Trinitat Vella,2021,3,585.0,10.2,25
el Bon Pastor,2021,3,644.1,10.2,38
Sant Andreu,2021,3,792.9,12.1,36
la Sagrera,2021,3,772.8,11.7,27
el Congrés i els Indians,2021,3,751.9,11.6,7
Navas,2021,3,805.3,11.6,19
el Camp de l'Arpa del Clot,2021,3,830.8,13.1,36
el Clot,2021,3,822.2,13.0,42
el Parc i la Llacuna del Poblenou,2021,3,1024.4,15.0,22
la Vila Olímpica del Poblenou,2021,3,1343.1,16.2,25
el Poblenou,2021,3,971.3,14.6,31
Diagonal Mar i el Front Marítim del Poblenou,2021,3,1162.9,16.9,23
el Besòs i el Maresme,2021,3,736.1,12.1,24
Provençals del Poblenou,2021,3,962.7,13.4,38
Sant Martí de Provençals,2021,3,804.2,11.6,9
la Verneda i la Pau,2021,3,752.9,11.0,15
el Raval,2021,4,772.8,13.1,37
el Barri Gòtic,2021,4,953.0,12.4,34
la Barceloneta,2021,4,877.9,16.4,39
"Sant Pere, Santa Caterina i la Ribera",2021,4,922.8,14.0,32
el Fort Pienc,2021,4,976.9,13.3,77
la Sagrada Família,2021,4,924.4,13.7,103
la Dreta de l'Eixample,2021,4,1220.8,13.5,226
l'Antiga Esquerra de l'Eixample,2021,4,1114.9,14.0,137
la Nova Esquerra de l'Eixample,2021,4,965.9,13.6,95
Sant Antoni,2021,4,955.7,13.4,62
el Poble Sec,2021,4,777.9,13.7,62
la Marina de Port,2021,4,691.9,10.2,48
la Font de la Guatlla,2021,4,827.2,13.0,18
Hostafrancs,2021,4,809.5,13.4,26
la Bordeta,2021,4,872.5,12.8,28
Sants - Badal,2021,4,800.0,13.0,18
Sants,2021,4,833.7,13.2,47
les Corts,2021,4,1052.8,14.2,78
la Maternitat i Sant Ramon,2021,4,920.6,13.1,60
Pedralbes,2021,4,1679.3,14.8,37
"Vallvidrera, el Tibidabo i les Planes",2021,4,1214.5,18.0,13
Sarrià,2021,4,1292.9,16.0,42
les Tres Torres,2021,4,1597.4,16.4,27
Sant Gervasi - la Bonanova,2021,4,1219.6,15.4,66
Sant Gervasi - Galvany,2021,4,1433.7,14.6,104
el Putxet i el Farró,2021,4,998.3,14.6,21
Vallcarca i els Penitents,2021,4,920.1,13.9,36
el Coll,2021,4,754.5,12.6,8
la Salut,2021,4,899.9,12.7,18
la Vila de Gràcia,2021,4,920.9,14.3,60
el Camp d'en Grassot i Gràcia Nova,2021,4,926.5,14.0,39
el Baix Guinardó,2021,4,821.0,12.7,42
Can Baró,2021,4,757.7,12.4,3
el Guinardó,2021,4,802.6,12.7,19
la Font d'en Fargues,2021,4,835.3,12.0,14
el Carmel,2021,4,683.8,12.1,24
la Teixonera,2021,4,739.7,13.0,9
Sant Genís dels Agudells,2021,4,675.7,9.5,13
Montbau,2021,4,744.2,11.4,13
la Vall d'Hebron,2021,4,859.1,13.2,33
Horta,2021,4,760.4,12.1,46
Vilapicina i la Torre Llobeta,2021,4,803.7,11.8,28
Porta,2021,4,740.4,11.5,22
el Turó de la Peira,2021,4,691.9,11.5,15
la Guineueta,2021,4,664.2,9.4,21
Canyelles,2021,4,763.3,9.3,10
les Roquetes,2021,4,605.5,10.9,13
Verdun,2021,4,647.7,11.9,5
la Prosperitat,2021,4,683.9,11.8,21
la Trinitat Nova,2021,4,557.0,11.5,17
la Trinitat Vella,2021,4,626.6,10.2,19
el Bon Pastor,2021,4,696.8,11.0,41
Sant Andreu,2021,4,754.0,11.8,42
la Sagrera,2021,4,798.6,12.5,17
el Congrés i els Indians,2021,4,799.2,12.2,18
Navas,2021,4,825.4,12.0,15
el Camp de l'Arpa del Clot,2021,4,842.1,13.1,58
el Clot,2021,4,833.8,12.9,52
el Parc i la Llacuna del Poblenou,2021,4,1040.7,14.9,19
la Vila Olímpica del Poblenou,2021,4,1364.7,16.1,23
el Poblenou,2021,4,970.7,14.3,37
Diagonal Mar i el Front Marítim del Poblenou,2021,4,1205.3,15.2,31
el Besòs i el Maresme,2021,4,700.5,10.8,20
Provençals del Poblenou,2021,4,977.8,13.8,41
Sant Martí de Provençals,2021,4,826.2,11.7,19
la Verneda i la Pau,2021,4,752.0,11.3,19
el Raval,2022,1,917.0,15.5,37
el Barri Gòtic,2022,1,1181.6,17.2,32
la Barceloneta,2022,1,999.8,21.3,29
"Sant Pere, Santa Caterina i la Ribera",2022,1,1022.8,15.3,26
el Fort Pienc,2022,1,957.9,13.5,64
la Sagrada Família,2022,1,984.3,15.1,61
la Dreta de l'Eixample,2022,1,1294.8,14.2,238
l'Antiga Esquerra de l'Eixample,2022,1,1105.7,14.3,117
la Nova Esquerra de l'Eixample,2022,1,1009.3,14.1,72
Sant Antoni,2022,1,999.9,14.4,65
el Poble Sec,2022,1,846.2,14.7,42
la Marina de Port,2022,1,728.7,10.4,24
la Font de la Guatlla,2022,1,823.9,13.3,10
Hostafrancs,2022,1,835.7,13.8,26
la Bordeta,2022,1,971.8,12.3,20
Sants - Badal,2022,1,805.4,13.3,16
Sants,2022,1,849.4,13.7,44
les Corts,2022,1,995.0,14.3,74
la Maternitat i Sant Ramon,2022,1,1018.6,14.1,55
Pedralbes,2022,1,1649.8,14.7,30
"Vallvidrera, el Tibidabo i les Planes",2022,1,1102.2,12.3,5
Sarrià,2022,1,1362.6,17.5,35
les Tres Torres,2022,1,1630.8,17.6,28
Sant Gervasi - la Bonanova,2022,1,1195.0,14.2,66
Sant Gervasi - Galvany,2022,1,1341.5,14.5,89
el Putxet i el Farró,2022,1,1054.9,14.8,29
Vallcarca i els Penitents,2022,1,947.8,13.6,26
el Coll,2022,1,809.9,13.4,7
la Salut,2022,1,874.3,13.4,10
la Vila de Gràcia,2022,1,986.0,15.4,29
el Camp d'en Grassot i Gràcia Nova,2022,1,957.9,14.2,32
el Baix Guinardó,2022,1,834.7,13.0,23
Can Baró,2022,1,737.6,13.2,3
el Guinardó,2022,1,801.7,13.1,32
la Font d'en Fargues,2022,1,784.7,11.7,9
el Carmel,2022,1,671.3,11.8,15
la Teixonera,2022,1,723.9,12.7,9
Sant Genís dels Agudells,2022,1,706.4,10.5,12
Montbau,2022,1,736.1,10.9,10
la Vall d'Hebron,2022,1,888.9,12.5,13
Horta,2022,1,740.3,11.5,40
Vilapicina i la Torre Llobeta,2022,1,767.0,12.0,14
Porta,2022,1,718.5,12.1,16
el Turó de la Peira,2022,1,662.8,11.5,3
la Guineueta,2022,1,644.7,9.5,6
Canyelles,2022,1,655.0,8.0,7
les Roquetes,2022,1,641.2,11.5,14
Verdun,2022,1,652.7,12.0,3
la Prosperitat,2022,1,687.2,12.1,18
la Trinitat Nova,2022,1,591.0,11.6,5
Ciutat Meridiana,2022,1,517.7,8.7,4
la Trinitat Vella,2022,1,616.9,10.1,20
el Bon Pastor,2022,1,702.6,10.4,34
Sant Andreu,2022,1,800.9,12.4,37
la Sagrera,2022,1,751.5,12.2,15
el Congrés i els Indians,2022,1,795.8,11.7,15
Navas,2022,1,847.2,12.2,25
el Camp de l'Arpa del Clot,2022,1,841.5,13.4,42
el Clot,2022,1,861.2,12.8,23
el Parc i la Llacuna del Poblenou,2022,1,1089.2,15.4,35
la Vila Olímpica del Poblenou,2022,1,1305.0,18.1,25
el Poblenou,2022,1,967.9,15.0,30
Diagonal Mar i el Front Marítim del Poblenou,2022,1,964.7,15.0,34
el Besòs i el Maresme,2022,1,796.9,12.0,15
Provençals del Poblenou,2022,1,939.2,13.5,41
Sant Martí de Provençals,2022,1,796.4,11.4,10
la Verneda i la Pau,2022,1,733.9,10.9,16
el Raval,2022,2,872.0,14.7,48
el Barri Gòtic,2022,2,1062.5,14.7,39
la Barceloneta,2022,2,900.5,16.6,54
"Sant Pere, Santa Caterina i la Ribera",2022,2,1051.4,15.8,46
el Fort Pienc,2022,2,1106.9,14.2,66
la Sagrada Família,2022,2,985.9,14.7,85
la Dreta de l'Eixample,2022,2,1328.6,14.4,270
l'Antiga Esquerra de l'Eixample,2022,2,1174.6,14.8,121
la Nova Esquerra de l'Eixample,2022,2,1012.2,14.5,75
Sant Antoni,2022,2,1004.3,13.8,54
el Poble Sec,2022,2,879.3,15.3,58
la Marina de Port,2022,2,638.8,9.8,28
la Font de la Guatlla,2022,2,912.1,13.7,20
Hostafrancs,2022,2,826.2,13.8,29
la Bordeta,2022,2,1025.0,13.4,25
Sants - Badal,2022,2,848.5,14.0,9
Sants,2022,2,885.6,13.7,37
les Corts,2022,2,1067.8,14.8,70
la Maternitat i Sant Ramon,2022,2,993.1,14.2,66
Pedralbes,2022,2,1944.5,14.6,40
"Vallvidrera, el Tibidabo i les Planes",2022,2,894.9,13.3,8
Sarrià,2022,2,1349.3,17.5,42
les Tres Torres,2022,2,1767.0,16.9,28
Sant Gervasi - la Bonanova,2022,2,1369.1,16.4,58
Sant Gervasi - Galvany,2022,2,1484.5,15.5,110
el Putxet i el Farró,2022,2,1108.6,15.7,19
Vallcarca i els Penitents,2022,2,969.3,14.2,27
el Coll,2022,2,759.2,12.2,5
la Salut,2022,2,1010.3,14.4,15
la Vila de Gràcia,2022,2,982.6,15.4,39
el Camp d'en Grassot i Gràcia Nova,2022,2,977.8,14.4,31
el Baix Guinardó,2022,2,903.9,14.1,38
Can Baró,2022,2,812.4,12.9,3
el Guinardó,2022,2,810.0,12.7,26
la Font d'en Fargues,2022,2,840.1,13.2,8
el Carmel,2022,2,725.8,12.6,27
la Teixonera,2022,2,786.5,13.0,7
Sant Genís dels Agudells,2022,2,720.3,10.9,3
Montbau,2022,2,750.7,11.2,9
la Vall d'Hebron,2022,2,865.3,14.0,19
Horta,2022,2,794.2,12.5,31
Vilapicina i la Torre Llobeta,2022,2,855.5,13.0,19
Porta,2022,2,728.5,11.8,19
el Turó de la Peira,2022,2,709.8,11.5,3
la Guineueta,2022,2,748.8,10.6,13
Canyelles,2022,2,851.3,9.8,8
les Roquetes,2022,2,632.9,12.1,17
Verdun,2022,2,609.0,11.5,7
la Prosperitat,2022,2,693.3,12.1,15
la Trinitat Nova,2022,2,574.9,11.5,15
Ciutat Meridiana,2022,2,577.3,10.3,4
la Trinitat Vella,2022,2,620.0,10.9,20
el Bon Pastor,2022,2,732.6,11.5,31
Sant Andreu,2022,2,788.2,12.4,47
la Sagrera,2022,2,803.5,12.6,17
el Congrés i els Indians,2022,2,784.3,11.8,5
Navas,2022,2,878.4,12.3,27
el Camp de l'Arpa del Clot,2022,2,875.1,13.9,54
el Clot,2022,2,884.0,13.5,37
el Parc i la Llacuna del Poblenou,2022,2,1173.2,15.4,38
la Vila Olímpica del Poblenou,2022,2,1442.6,20.7,41
el Poblenou,2022,2,1085.6,16.9,37
Diagonal Mar i el Front Marítim del Poblenou,2022,2,1238.7,17.5,40
el Besòs i el Maresme,2022,2,779.2,12.2,19
Provençals del Poblenou,2022,2,1032.9,14.6,41
Sant Martí de Provençals,2022,2,843.0,11.9,21
la Verneda i la Pau,2022,2,757.0,11.4,16
el Raval,2022,3,928.1,15.4,40
el Barri Gòtic,2022,3,1111.3,15.8,35
la Barceloneta,2022,3,922.9,17.6,38
"Sant Pere, Santa Caterina i la Ribera",2022,3,1084.9,17.0,27
el Fort Pienc,2022,3,1118.7,15.0,82
la Sagrada Família,2022,3,1038.7,15.4,82
la Dreta de l'Eixample,2022,3,1445.6,15.0,217
l'Antiga Esquerra de l'Eixample,2022,3,1252.2,15.7,108
la Nova Esquerra de l'Eixample,2022,3,1113.9,15.5,87
Sant Antoni,2022,3,1072.2,14.5,64
el Poble Sec,2022,3,888.3,15.2,57
la Marina de Port,2022,3,785.9,11.1,27
la Font de la Guatlla,2022,3,971.9,14.3,13
Hostafrancs,2022,3,910.5,14.6,42
la Bordeta,2022,3,1136.7,13.8,29
Sants - Badal,2022,3,930.1,14.9,14
Sants,2022,3,940.3,14.5,34
les Corts,2022,3,1203.4,15.9,58
la Maternitat i Sant Ramon,2022,3,1107.2,14.9,39
Pedralbes,2022,3,1946.1,16.3,20
"Vallvidrera, el Tibidabo i les Planes",2022,3,1364.7,14.5,11
Sarrià,2022,3,1541.4,18.7,28
les Tres Torres,2022,3,1990.2,19.2,20
Sant Gervasi - la Bonanova,2022,3,1473.1,16.4,43
Sant Gervasi - Galvany,2022,3,1550.1,16.4,68
el Putxet i el Farró,2022,3,1149.9,16.3,20
Vallcarca i els Penitents,2022,3,1073.6,15.4,39
el Coll,2022,3,839.9,12.8,3
la Salut,2022,3,997.5,13.4,14
la Vila de Gràcia,2022,3,1043.4,16.1,26
el Camp d'en Grassot i Gràcia Nova,2022,3,1032.5,15.7,37
el Baix Guinardó,2022,3,948.7,14.7,35
Can Baró,2022,3,831.9,13.9,2
el Guinardó,2022,3,872.6,13.7,26
la Font d'en Fargues,2022,3,880.3,13.8,12
el Carmel,2022,3,753.2,13.4,20
la Teixonera,2022,3,810.5,13.0,3
Sant Genís dels Agudells,2022,3,759.0,10.9,14
Montbau,2022,3,853.5,12.8,5
la Vall d'Hebron,2022,3,907.3,14.1,11
Horta,2022,3,814.1,12.7,36
Vilapicina i la Torre Llobeta,2022,3,838.6,12.7,13
Porta,2022,3,765.7,12.1,20
el Turó de la Peira,2022,3,760.5,12.4,4
la Guineueta,2022,3,816.0,11.8,17
Canyelles,2022,3,753.15,8.9,6
les Roquetes,2022,3,676.1,12.5,16
Verdun,2022,3,660.1,12.2,5
la Prosperitat,2022,3,731.3,12.8,10
la Trinitat Nova,2022,3,661.4,13.6,16
Ciutat Meridiana,2022,3,575.3,9.7,2
la Trinitat Vella,2022,3,668.0,11.5,19
el Bon Pastor,2022,3,776.8,11.7,29
Sant Andreu,2022,3,855.6,12.9,34
la Sagrera,2022,3,850.7,13.4,22
el Congrés i els Indians,2022,3,869.1,12.9,17
Navas,2022,3,890.0,12.8,19
el Camp de l'Arpa del Clot,2022,3,916.3,14.6,45
el Clot,2022,3,936.4,14.1,40
el Parc i la Llacuna del Poblenou,2022,3,1169.3,15.9,38
la Vila Olímpica del Poblenou,2022,3,1499.5,20.0,31
el Poblenou,2022,3,1104.2,16.9,33
Diagonal Mar i el Front Marítim del Poblenou,2022,3,1354.9,17.6,27
el Besòs i el Maresme,2022,3,761.4,12.4,27
Provençals del Poblenou,2022,3,1059.4,14.8,23
Sant Martí de Provençals,2022,3,1158.9,12.3,12
la Verneda i la Pau,2022,3,775.8,11.5,20
